unit,s_adj,nace_r2,na_item,geo\time,2020Q4,2020Q3,2020Q2,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2018Q4,2018Q3,2018Q2,2018Q1,2017Q4,2017Q3,2017Q2,2017Q1,2016Q4,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1,2011Q4,2011Q3,2011Q2,2011Q1,2010Q4,2010Q3,2010Q2,2010Q1,2009Q4,2009Q3,2009Q2,2009Q1,2008Q4,2008Q3,2008Q2,2008Q1,2007Q4,2007Q3,2007Q2,2007Q1,2006Q4,2006Q3,2006Q2,2006Q1,2005Q4,2005Q3,2005Q2,2005Q1,2004Q4,2004Q3,2004Q2,2004Q1,2003Q4,2003Q3,2003Q2,2003Q1,2002Q4,2002Q3,2002Q2,2002Q1,2001Q4,2001Q3,2001Q2,2001Q1,2000Q4,2000Q3,2000Q2,2000Q1,1999Q4,1999Q3,1999Q2,1999Q1,1998Q4,1998Q3,1998Q2,1998Q1,1997Q4,1997Q3,1997Q2,1997Q1,1996Q4,1996Q3,1996Q2,1996Q1,1995Q4,1995Q3,1995Q2,1995Q1,1994Q4,1994Q3,1994Q2,1994Q1,1993Q4,1993Q3,1993Q2,1993Q1,1992Q4,1992Q3,1992Q2,1992Q1,1991Q4,1991Q3,1991Q2,1991Q1,1990Q4,1990Q3,1990Q2,1990Q1,1989Q4,1989Q3,1989Q2,1989Q1,1988Q4,1988Q3,1988Q2,1988Q1,1987Q4,1987Q3,1987Q2,1987Q1,1986Q4,1986Q3,1986Q2,1986Q1,1985Q4,1985Q3,1985Q2,1985Q1,1984Q4,1984Q3,1984Q2,1984Q1,1983Q4,1983Q3,1983Q2,1983Q1,1982Q4,1982Q3,1982Q2,1982Q1,1981Q4,1981Q3,1981Q2,1981Q1,1980Q4,1980Q3,1980Q2,1980Q1,1979Q4,1979Q3,1979Q2,1979Q1,1978Q4,1978Q3,1978Q2,1978Q1,1977Q4,1977Q3,1977Q2,1977Q1,1976Q4,1976Q3,1976Q2,1976Q1,1975Q4,1975Q3,1975Q2,1975Q1
CLV_I05,NSA,TOTAL,B1G,AT,119.434,118.72,105.683,116.559,127.036,122.661,121.439,120.524,126.892,120.575,119.655,117.886,122.681,117.968,116.542,114.662,120.324,115.188,113.753,111.133,117.297,113.733,111.344,109.207,115.965,112.564,110.968,108.299,115.675,111.669,109.985,107.435,114.241,111.459,110.175,108.254,114.584,111.473,109.877,105.858,112.578,108.41,105.785,101.053,108.613,105.437,103.948,101.785,110.512,110.422,110.782,106.43,112.072,108.553,107.399,103.082,108.551,104.523,102.98,99.012,104.357,101.062,100.056,94.525,101.435,99.164,97.499,92.766,98.022,95.827,94.557,91.362,96.501,94.533,93.79,90.762,95.235,92.674,92.334,89.447,95.384,91.621,90.856,86.741,91.837,89.298,87.491,82.428,88.493,86.037,85.09,80.417,85.797,82.597,81.553,77.293,83.134,80.711,80.567,76.1,81.732,79.052,78.96,74.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLV_I05,NSA,TOTAL,B1G,BE,122.601,114.151,108.158,118.131,128.407,119.11,124.734,120.069,126.489,116.889,122.51,117.71,123.883,114.61,120.407,116.05,121.797,113.288,118.542,114.07,120.739,112.387,117.404,112.801,118.59,110.134,114.211,110.32,116.083,108.24,112.701,108.734,115.183,107.798,112.115,108.828,114.697,106.964,111.08,107.713,113.056,105.049,108.835,104.942,110.145,102.106,105.155,102.368,108.673,104.24,109.726,105.796,110.637,103.516,107.456,103.478,107.009,99.556,103.429,99.809,104.158,97.286,101.251,97.305,101.674,95.205,98.696,94.875,98.363,92.066,95.545,92.474,97.166,91.193,94.807,91.112,94.752,89.516,93.394,90.601,94.365,88.34,91.561,88.481,91.458,85.864,88.049,84.82,87.107,82.692,85.664,83.455,86.173,81.536,84.118,80.875,82.99,78.324,81.138,78.545,82.1,77.721,80.435,77.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLV_I05,NSA,TOTAL,B1G,BG,158.27,155.617,135.978,124.887,167.502,162.816,147.365,122.704,162.568,158.043,141.7,119.128,156.744,153.059,137.108,114.997,150.839,147.712,131.645,109.277,145.021,143.244,127.388,105.422,142.31,136.742,123.157,101.426,136.789,135.049,120.869,100.187,134.428,134.506,122.946,101.946,133.866,134.861,124.955,102.197,133.267,130.766,118.349,100.898,128.546,131.256,116.186,103.474,133.124,132.076,115.189,103.673,129.68,122.626,107.851,95.832,121.811,117.712,98.845,89.759,112.521,110.373,92.734,84.372,105.535,105.36,86.048,78.123,101.107,99.066,82.001,75.407,96.098,96.586,78.904,72.342,89.758,88.733,72.911,67.941,85.949,85.426,70.628,65.529,81.704,82.913,65.697,65.301,87.548,92.439,71.82,73.806,85.483,89.755,72.797,69.685,101.277,103.935,87.377,81.951,109.734,99.342,79.887,64.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLV_I05,NSA,TOTAL,B1G,CH,134.549,131.208,122.635,129.149,136.705,133.038,133.029,129.56,134.657,131.396,132.406,128.26,131.7,127.736,127.102,124.351,129.37,125.973,125.544,121.968,127.236,123.605,122.754,119.142,125.232,121.533,120.887,117.143,122.053,118.852,118.003,114.166,119.027,116.382,115.522,113.513,117.374,114.458,114.675,111.699,115.942,112.966,111.468,108.599,112.783,109.603,107.697,105.062,111.477,112.595,111.764,108.487,111.939,108.539,107.204,104.349,107.647,104.261,103.129,100.694,103.892,100.428,99.362,96.318,99.804,97.235,96.825,94.917,98.445,94.568,93.48,91.996,97.132,94.677,94.314,92.62,97.226,94.063,94.214,92.358,96.772,92.555,91.914,90.041,94.526,88.937,88.344,86.278,91.481,88.269,88.356,85.5,89.846,85.836,85.128,82.402,86.852,83.476,83.644,82.562,86.48,83.946,83.288,81.509,86.641,83.205,81.901,81.976,85.986,82.63,81.941,79.604,84.533,81.991,82.902,81.471,85.454,81.968,82.173,81.159,85.539,82.75,83.424,81.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLV_I05,NSA,TOTAL,B1G,CY,123.329,123.892,112.882,122.156,129.098,129.423,128.831,120.935,124.523,125.848,125.392,117.361,119.864,119.176,118.216,111.312,114.639,112.89,111.971,106.096,107.61,106.01,105.813,99.216,101.865,102.516,102.673,98.539,103.241,104.315,103.649,101.945,108.953,110.793,112.168,110.209,115.503,113.999,116.42,111.984,116.63,115.138,114.221,110.086,113.951,112.189,112.235,108.692,115.103,115.375,115.175,110.609,113.666,111.222,109.745,105.576,107.506,106.213,104.971,100.165,102.99,101.924,99.578,95.508,98.115,97.264,94.956,91.152,93.41,92.634,90.384,86.804,90.779,89.705,89.966,83.499,86.618,88.116,86.65,79.858,82.406,83.046,85.213,77.6,80.082,79.703,77.749,72.253,75.899,76.376,73.98,68.785,71.338,71.485,69.571,65.655,68.915,68.694,68.057,65.229,67.913,68.318,68.011,63.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLV_I05,NSA,TOTAL,B1G,CZ,138.248,137.0,127.266,132.299,144.942,144.351,142.813,133.675,142.859,140.473,139.961,130.327,138.401,136.501,135.528,125.064,131.046,129.138,129.353,119.483,128.278,127.092,125.21,116.033,122.339,121.219,119.328,110.886,118.453,117.06,116.363,108.73,118.017,115.88,116.453,110.329,119.33,117.69,117.982,109.574,118.954,116.289,115.276,106.039,114.449,112.84,111.159,104.801,119.139,120.128,118.319,110.369,119.35,114.391,112.924,105.146,113.335,109.152,107.569,99.068,106.218,101.838,100.303,91.641,98.828,95.243,93.676,86.865,92.96,91.855,89.346,83.107,90.073,88.854,86.93,81.091,88.274,86.444,85.329,80.013,85.593,84.546,82.652,77.141,82.534,80.858,79.475,73.533,80.172,79.905,78.717,73.15,79.337,80.02,79.537,74.098,81.322,81.379,80.014,74.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLV_I05,NSA,TOTAL,B1G,DE,120.072,119.067,107.842,120.776,124.541,124.564,121.873,122.601,124.483,123.213,122.3,121.423,123.86,122.462,119.436,119.367,120.049,119.032,118.189,115.094,118.201,116.838,113.985,112.923,116.399,115.429,112.426,112.184,113.835,113.165,110.844,108.546,112.172,111.872,110.07,110.209,112.265,111.941,109.366,108.442,110.036,107.807,105.324,102.367,105.012,102.991,100.381,99.376,108.2,109.585,110.024,106.975,110.648,108.373,106.548,104.677,107.807,104.862,102.691,100.173,102.887,100.97,100.023,96.12,101.675,100.081,99.041,96.466,100.393,99.33,96.374,94.803,100.531,99.677,97.863,95.277,100.346,98.764,97.321,96.686,98.464,97.113,95.45,94.353,96.963,94.422,91.87,90.01,94.41,92.874,90.368,89.375,93.071,90.98,89.699,85.449,90.969,89.006,87.1,84.952,89.595,87.689,86.188,85.091,88.682,86.453,84.467,82.816,86.107,84.663,82.977,81.626,86.453,85.333,83.566,83.589,85.391,83.636,82.25,81.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLV_I05,NSA,TOTAL,B1G,DK,121.759,117.088,113.076,117.076,124.241,120.412,122.437,116.411,121.408,116.722,118.689,112.875,118.095,114.073,116.661,111.276,115.479,111.692,113.02,106.638,110.863,107.831,109.311,105.072,109.286,106.291,105.674,102.613,107.005,104.281,105.307,100.815,105.479,103.127,103.933,101.068,105.749,102.11,104.287,100.559,105.005,102.184,101.722,97.509,102.057,98.963,99.371,98.689,105.192,104.028,106.114,102.322,108.563,103.768,103.935,101.162,106.868,103.388,105.695,99.398,103.58,99.27,101.831,95.319,102.179,97.157,98.974,95.319,100.745,94.751,96.214,94.286,98.953,95.324,97.276,92.976,99.555,95.135,95.509,93.133,99.736,93.93,94.835,91.634,95.108,89.446,90.893,87.684,91.342,86.797,87.08,86.369,88.68,84.827,87.947,83.437,86.44,82.313,84.744,80.957,83.912,79.319,81.969,80.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLV_I05,NSA,TOTAL,B1G,EA,114.713,112.68,100.611,112.153,120.029,117.763,117.852,115.228,119.028,115.812,116.557,113.635,117.385,114.017,113.808,111.084,114.085,110.772,111.648,108.045,112.133,109.151,109.12,106.373,109.636,107.19,107.04,104.582,108.076,105.675,106.029,102.8,107.224,105.203,106.184,104.577,108.25,106.269,107.157,104.593,107.933,104.414,105.018,101.546,105.382,102.02,102.432,100.288,107.464,106.409,108.802,105.921,109.62,105.496,106.799,103.882,106.81,102.171,103.329,100.316,103.189,99.181,100.638,96.992,101.513,97.684,98.879,96.041,99.397,95.508,95.998,93.999,98.418,95.124,96.084,93.259,97.418,93.711,94.92,93.302,96.167,92.059,92.952,90.75,93.365,88.84,89.157,86.404,89.76,86.481,87.052,84.703,88.081,84.002,84.879,81.118,85.075,81.79,82.484,80.307,84.083,80.438,81.045,78.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLV_I05,NSA,TOTAL,B1G,EA12,114.12,112.041,100.053,111.76,119.47,117.147,117.341,114.879,118.527,115.241,116.108,113.354,116.964,113.533,113.414,110.835,113.713,110.325,111.317,107.829,111.802,108.733,108.811,106.194,109.405,106.904,106.815,104.455,107.887,105.431,105.837,102.66,107.033,104.94,105.984,104.446,108.076,106.034,106.985,104.49,107.765,104.177,104.841,101.429,105.24,101.818,102.283,100.205,107.424,106.342,108.742,105.889,109.6,105.46,106.768,103.871,106.81,102.171,103.329,100.316,103.189,99.181,100.638,96.992,101.513,97.684,98.879,96.041,99.397,95.508,95.998,93.999,98.418,95.124,96.084,93.259,97.418,93.711,94.92,93.302,95.977,91.92,92.63,90.449,93.169,88.694,88.867,86.137,89.602,86.363,86.774,84.444,87.893,83.872,84.569,80.834,84.874,81.631,82.16,79.995,83.863,80.268,80.714,78.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
